Title,Description,Preprocessed_Title,Preprocessed_Description
Power of High Courts to issue certain writs,"(1) Notwithstanding anything in Article 32 every High Court shall have powers, throughout the territories in relation to which it exercise jurisdiction, to issue to any person or authority, including in appropriate cases, any Government, within those territories directions, orders or writs, including writs in the nature of habeas corpus, mandamus, prohibitions, quo warranto and certiorari, or any of them, for the enforcement of any of the rights conferred by Part III and for any other purpose (2) The power conferred by clause ( 1 ) to issue directions, orders or writs to any Government, authority or person may also be exercised by any High Court exercising jurisdiction in relation to the territories within which the cause of action, wholly or in part, arises for the exercise of such power, notwithstanding that the seat of such Government or authority or the residence of such person is not within those territories (3) Where any party against whom an interim order, whether by way of injunction or stay or in any other manner, is made on, or in any proceedings relating to, a petition under clause ( 1 ), without (a) furnishing to such party copies of such petition and all documents in support of the plea for such interim order; and (b) giving such party an opportunity of being heard, makes an application to the High Court for the vacation of such order and furnishes a copy of such application to the party in whose favour such order has been made or the counsel of such party, the High Court shall dispose of the application within a period of two weeks from the date on which it is received or from the date on which the copy of such application is so furnished, whichever is later, or where the High Court is closed on the last day of that period, before the expiry of the next day afterwards on which the High Court is open; and if the application is not so disposed of, the interim order shall, on the expiry of that period, or, as the case may be, the expiry of the aid next day, stand vacated (4) The power conferred on a High Court by this article shall not be in derogation of the power conferred on the Supreme court by clause ( 2 ) of Article 32",power high court issue certain writ,1 notwithstanding anything article 32 every high court shall power throughout territory relation exercise jurisdiction issue person authority including appropriate case government within territory direction order writ including writ nature habeas corpus mandamus prohibition quo warranto certiorari enforcement right conferred part iii purpose 2 power conferred clause 1 issue direction order writ government authority person may also exercised high court exercising jurisdiction relation territory within cause action wholly part arises exercise power notwithstanding seat government authority residence person within territory 3 party interim order whether way injunction stay manner made proceeding relating petition clause 1 without furnishing party copy petition document support plea interim order b giving party opportunity heard make application high court vacation order furnishes copy application party whose favour order made counsel party high court shall dispose application within period two week date received date copy application furnished whichever later high court closed last day period expiry next day afterwards high court open application disposed interim order shall expiry period case may expiry aid next day stand vacated 4 power conferred high court article shall derogation power conferred supreme court clause 2 article 32
Equality of opportunity in matters of public employment,"(1) There shall be equality of opportunity for all citizens in matters relating to employment or appointment to any office under the State. (2) No citizen shall, on grounds only of religion, race, caste, sex, descent, place of birth, residence or any of them, be ineligible for, or discriminated against in respect of, any employment or office under the State. (3) Nothing in this Article shall prevent Parliament from making any law prescribing, in regard to a class or classes of employment or appointment to an office 1 under the Government of, or any local or other authority within, a State or Union territory, any requirement as to residence within that State or Union territory prior to such employment or appointment. 2 (4A) Nothing in this Article shall prevent the State from making any provision for reservation 3 [in matters of promotion, with consequential seniority, to any class] or classes of posts in the services under the State in favour of the Scheduled Castes and the Scheduled Tribes which, in the opinion of the State, are not adequately represented in the services under the State. 4 (4B) Nothing in this Article shall prevent the State from considering any unfilled vacancies of a year which are reserved for being filled up in that year in accordance with any provision for reservation made under clause (4) or clause (4A) as a separate class of vacancies to be filled up in any succeeding year or years and such class of vacancies shall not be considered together with the vacancies of the year in which they are being filled up for determining the ceiling of fifty per cent. reservation on total number of vacancies of that year. (5) Nothing in this Article shall affect the operation of any law which provides that the incumbent of an office in connection with the affairs of any religious or denominational institution or any member of the governing body thereof shall be a person professing a particular religion or belonging to a particular denomination. Substituted by the Constitution (Seventh Amendment) Act, 1956 , Section 29 and Schedule , for ""under any State specified in the First Schedule or any local or other authority within its territory, any requirement as to residence within that State"". Inserted by the Constitution (Seventy-seventh Amendment) Act, 1995 ,s. 2. Substituted for the words ""in matters of promotion to any class"" by the Constitution (Eighty-fifth Amendment) Act, 2001 ,Section 2,w.e.f.06-17-1995 Inserted by the Constitution (Eighty-first Amendment) Act, 2000 , Section 2 (w.e.f. 09-06-2000)",equality opportunity matter public employment,1 shall equality opportunity citizen matter relating employment appointment office state 2 citizen shall ground religion race caste sex descent place birth residence ineligible discriminated respect employment office state 3 nothing article shall prevent parliament making law prescribing regard class class employment appointment office 1 government local authority within state union territory requirement residence within state union territory prior employment appointment 2 4a nothing article shall prevent state making provision reservation 3 matter promotion consequential seniority class class post service state favour scheduled caste scheduled tribe opinion state adequately represented service state 4 4b nothing article shall prevent state considering unfilled vacancy year reserved filled year accordance provision reservation made clause 4 clause 4a separate class vacancy filled succeeding year year class vacancy shall considered together vacancy year filled determining ceiling fifty per cent reservation total number vacancy year 5 nothing article shall affect operation law provides incumbent office connection affair religious denominational institution member governing body thereof shall person professing particular religion belonging particular denomination substituted constitution seventh amendment act 1956 section 29 schedule state specified first schedule local authority within territory requirement residence within state inserted constitution seventyseventh amendment act 1995 2 substituted word matter promotion class constitution eightyfifth amendment act 2001 section 2wef06171995 inserted constitution eightyfirst amendment act 2000 section 2 wef 09062000
State to secure a social order for the promotion of welfare of the people,"1 (1) The State shall strive to promote the welfare of the people by securing and protecting as effectively as it may a social order in which justice, social, economic and political, shall inform all the institutions of the national life. (2) 2 The State shall, in particular, strive to minimise the inequalities in income, and endeavour to eliminate inequalities in status, facilities and opportunities, not only amongst individuals but also amongst groups of people residing in different areas or engaged in different vocations. Art. 38 renumbered as Clause (1) thereof by the Constitution (Forty-fourth Amendment) Act, 1978 , 9 (w.e.f. 20-6-1979). Inserted by Constitution (Forty-fourth Amendment) Act, 1978 Section 9 (w.e.f. 20-6-1979).",state secure social order promotion welfare people,1 1 state shall strive promote welfare people securing protecting effectively may social order justice social economic political shall inform institution national life 2 2 state shall particular strive minimise inequality income endeavour eliminate inequality status facility opportunity amongst individual also amongst group people residing different area engaged different vocation art 38 renumbered clause 1 thereof constitution fortyfourth amendment act 1978 9 wef 2061979 inserted constitution fortyfourth amendment act 1978 section 9 wef 2061979
Grounds for setting aside award,"An award shall not be set aside except on one or more of the following grounds, namely :- (a) that an arbitrator or umpire has misconducted himself or the proceedings ; (b) that an award has been made after the issue of an order by the Court superseding the arbitration or after arbitration proceedings have become invalid under section 35 ; (c) that an award has been improperly procured or is otherwise invalid.",ground setting aside award,award shall set aside except one following ground namely arbitrator umpire misconducted proceeding b award made issue order court superseding arbitration arbitration proceeding become invalid section 35 c award improperly procured otherwise invalid
Matters to be considered in determining compensation,"(1) In determining the amount of compensation to be awarded for land acquired under this Act, the court shall take into consideration-- first, the market-value of the land at the date of the publication of the notification under section 4, sub-section (1); secondly, the damage sustained by the person interested, by reason of the taking of any standing crops or trees which may be on the land at the time of the Collector's taking possession thereof; thirdly, the damage (if any), sustained by the person interested, at the time of the Collector's taking possession taking possession of the land, by reason of severing such land from his other land; fourthly, the damage (if any), sustained by the person interested, at the time of the Collector's taking possession of the land, by reason of the acquisition injuriously affecting his other property, movable or immovable, in any other manner, or his earnings; fifthly, if, in consequence of the acquisition of the land by the Collector, the person interested is compelled to change his residence or place of business, the reasonable expenses (if any) incidental to such change; and sixthly, the damage (if any) bona fide resulting from diminution of the profits of the land between the time of the publication of the declaration under section 6 and the time of the Collector's taking possession of the land. 1 [(1A) In addition to the market value of the land above provided, the Court shall in every case award an amount calculated at the rate of twelve per centum per annum on such market-value for the period commencing on and from the date of the publication of the notification under section 4, sub-section (1), in respect of such land to the date of the award of the Collector or the date of taking possession of the land, whichever is earlier. Explanation.-In computing the period referred to in this sub-section, any period or periods during which the proceedings for the acquisition of the land were held up on account of any stay or injunction by the order of any court shall be excluded.] (2) In addition to the market-value of the land as above provided, the court shall in every case award a sum of 2 [thirty per centum] on such market-value, in consideration of the compulsory nature of the acquisition.] Inserted by Act 68 of 1984 , section 15 with effect from 24-9-1984, regarding its application to proceedings pending on or after 30.4.1982. Substituted by Act 68 of 1984 , section 15 with effect from . 24-9-1984.",matter considered determining compensation,1 determining amount compensation awarded land acquired act court shall take consideration first marketvalue land date publication notification section 4 subsection 1 secondly damage sustained person interested reason taking standing crop tree may land time collector taking possession thereof thirdly damage sustained person interested time collector taking possession taking possession land reason severing land land fourthly damage sustained person interested time collector taking possession land reason acquisition injuriously affecting property movable immovable manner earnings fifthly consequence acquisition land collector person interested compelled change residence place business reasonable expense incidental change sixthly damage bona fide resulting diminution profit land time publication declaration section 6 time collector taking possession land 1 1a addition market value land provided court shall every case award amount calculated rate twelve per centum per annum marketvalue period commencing date publication notification section 4 subsection 1 respect land date award collector date taking possession land whichever earlier explanationin computing period referred subsection period period proceeding acquisition land held account stay injunction order court shall excluded 2 addition marketvalue land provided court shall every case award sum 2 thirty per centum marketvalue consideration compulsory nature acquisition inserted act 68 1984 section 15 effect 2491984 regarding application proceeding pending 3041982 substituted act 68 1984 section 15 effect 2491984
Freedom to manage religious affairs,"Subject to public order, morality and health, every religious denomination or any section thereof shall have the right- (a) to establish and maintain institutions for religious and charitable purposes; (b) to manage its own affairs in matters of religion; (c) to own and acquire movable and immovable property; and (d) to administer such property in accordance with law.",freedom manage religious affair,subject public order morality health every religious denomination section thereof shall right establish maintain institution religious charitable purpose b manage affair matter religion c acquire movable immovable property administer property accordance law
Report of police officer on completion of investigation,"(1) Every investigation under this Chapter shall be completed without unnecessary delay. 1 [(1A) The investigation in relation to rape of a child may be completed within three months from the date on which the information was recorded by the officer in charge of the police station.] (2) (i) As soon as it is completed, the officer in charge of ihe police station shall forward to a Magistrate empowered to take cognizance of the offence on a police report, a report in the form prescribed by the State Government, stating- (a) the names of the parties; (b) the nature of the information; (c) the names of the persons who appear to be acquainted with the circumstances of the case; (d) whether any offence appears to have been committed and, if so, by whom; (e) whether the accused has been arrested; (f) whether he has been released on his bond and, if so, whether with or without sureties; (g) whether he has been forwarded in custody under section 170. 2 [(h) whether the report of medical examination of the woman has been attached where investigation relates to an offence under section 376, 376A, 376B, 376C or 3 [376D or 376E of the Indian Penal Code .] (ii) The officer shall also communicate, in such manner as may be prescribed by the State Government, the action taken by him, to the person, if any whom the information relating to the commission of the offence was first given. (3) Where a superior officer of police has been appointed under section 158, the report, shall, in any case in which the State Government by general or special order so directs, be submitted through that officer, and he may, pending the orders of the Magistrate, direct the officer in charge of the police station to make further investigation. (4) Whenever it appears from a report forwarded under this section that the accused has been released on his bond, the Magistrate shall make such order for the discharge of such bond or otherwise as he thinks fit. (5) When such report is in respect of a case to which section 170 applies, the police officer shall forward to the Magistrate along with the report- (a) all documents or relevant extracts thereof on which the prosecution proposes to rely other than those already sent to the Magistrate during investigation; (b) the statements recorded under section 161 of all the persons whom the prosecution proposes to examine as its witnesses. (6) If the police officer is of opinion that any part of any such statement is not relevant to the subject-matter of the proceeding or that its disclosure to the accused is not essential in the interests of justice and is inexpedient in the public interest, he shall indicate that part of the statement and append a note requesting the Magistrate to exclude that part from the copies to be granted to the accused and stating his reasons for making such request. (7) Where the police officer investigating the case finds it convenient so to do, he may furnish to the accused copies of all or any of the documents referred to in sub-section (5) . (8) Nothing in this section shall be deemed to preclude further investigation in respect of an offence after a report under sub-section (2) has been forwarded to the Magistrate and, where upon such investigation, the officer in charge of the police station obtains further evidence, oral or documentary, he shall forward to the Magistrate a further report or reports regarding, such evidence in the form prescribed; and the provisions of sub-sections (2) to (6) shall, as far as may be, apply in relation to such report or reports as they apply in relation to a report forwarded under sub-section (2) . Inserted by Section 16 of the Code of Criminal Procedure (Amendment) Act, 2008 Inserted by Section 16 of the Code of Criminal Procedure (Amendment) Act, 2008 Substituted by the Criminal Law (Amendment) Act, 2013 (13 of 2013), w.e.f. 03-02-2013.",report police officer completion investigation,1 every investigation chapter shall completed without unnecessary delay 1 1a investigation relation rape child may completed within three month date information recorded officer charge police station 2 soon completed officer charge ihe police station shall forward magistrate empowered take cognizance offence police report report form prescribed state government stating name party b nature information c name person appear acquainted circumstance case whether offence appears committed e whether accused arrested f whether released bond whether without surety g whether forwarded custody section 170 2 h whether report medical examination woman attached investigation relates offence section 376 376a 376b 376c 3 376d 376e indian penal code ii officer shall also communicate manner may prescribed state government action taken person information relating commission offence first given 3 superior officer police appointed section 158 report shall case state government general special order directs submitted officer may pending order magistrate direct officer charge police station make investigation 4 whenever appears report forwarded section accused released bond magistrate shall make order discharge bond otherwise think fit 5 report respect case section 170 applies police officer shall forward magistrate along report document relevant extract thereof prosecution proposes rely already sent magistrate investigation b statement recorded section 161 person prosecution proposes examine witness 6 police officer opinion part statement relevant subjectmatter proceeding disclosure accused essential interest justice inexpedient public interest shall indicate part statement append note requesting magistrate exclude part copy granted accused stating reason making request 7 police officer investigating case find convenient may furnish accused copy document referred subsection 5 8 nothing section shall deemed preclude investigation respect offence report subsection 2 forwarded magistrate upon investigation officer charge police station obtains evidence oral documentary shall forward magistrate report report regarding evidence form prescribed provision subsection 2 6 shall far may apply relation report report apply relation report forwarded subsection 2 inserted section 16 code criminal procedure amendment act 2008 inserted section 16 code criminal procedure amendment act 2008 substituted criminal law amendment act 2013 13 2013 wef 03022013
Land acquisition process under Act No. 1 of 1894 shall be deemed to have lapsed in certain cases,"(1) Notwithstanding anything contained in this Act, in any case of land acquisition proceedings initiated under the Land Acquisition Act, 1894,- (a) where no award under section 11 of the said Land Acquisition Act has been made, then, all provisions of this Act relating to the determination of compensation shall apply; or (b) where an award under said section 11 has been made, then such proceedings shall continue under the provisions of the said Land Acquisition Act, as if the said Act has not been repealed. (2) Notwithstanding anything contained in sub-section (1), in case of land acquisition proceedings initiated under the Land Acquisition Act. 1894, where an award under the said section 11 has been made five years or more prior to the commencement of this Act but the physical possession of the land has not been taken or the compensation has not been paid the said proceedings shall be deemed to have lapsed and the appropriate Government, if it so chooses, shall initiate the proceedings of such land acquisition afresh in accordance with the provisions of this Act: Provided that where an award has been made and compensation in respect of a majority of land holdings has not been deposited in the account of the beneficiaries, then, all beneficiaries specified in the notification for acquisition under section 4 of the said Land Acquisition Act, shall be entitled to compensation in accordance with the provisions of this Act.",land acquisition process act 1 1894 shall deemed lapsed certain case,1 notwithstanding anything contained act case land acquisition proceeding initiated land acquisition act 1894 award section 11 said land acquisition act made provision act relating determination compensation shall apply b award said section 11 made proceeding shall continue provision said land acquisition act said act repealed 2 notwithstanding anything contained subsection 1 case land acquisition proceeding initiated land acquisition act 1894 award said section 11 made five year prior commencement act physical possession land taken compensation paid said proceeding shall deemed lapsed appropriate government chooses shall initiate proceeding land acquisition afresh accordance provision act provided award made compensation respect majority land holding deposited account beneficiary beneficiary specified notification acquisition section 4 said land acquisition act shall entitled compensation accordance provision act
Right of minorities to establish and administer educational institutions,"(1) All minorities, whether based on religion or language, shall have the right to establish and administer educational institutions of their choice. 1 (1A) In making any law providing for the compulsory acquisition of any property of any educational institution established and administered by a minority, referred to in clause (1), the State shall ensure that the amount fixed by or determined under such law for the acquisition of such property is such as would not restrict or abrogate the right guaranteed under that clause. (2) The State shall not, in granting aid to educational institutions, discriminate against any educational institution on the ground that it is under the management of a minority, whether based on religion or language. 2 [...] Inserted by the Constitution (Forty-fourth Amendment) Act, 1978 , Section 4 (w.e.f. 20-6-1979). The sub-heading ""Right to Property"" omitted by Constitution (Forty-fourth Amendment) Act, 1978 Section 5 (w.e.f. 20-6-1979).",right minority establish administer educational institution,1 minority whether based religion language shall right establish administer educational institution choice 1 1a making law providing compulsory acquisition property educational institution established administered minority referred clause 1 state shall ensure amount fixed determined law acquisition property would restrict abrogate right guaranteed clause 2 state shall granting aid educational institution discriminate educational institution ground management minority whether based religion language 2 inserted constitution fortyfourth amendment act 1978 section 4 wef 2061979 subheading right property omitted constitution fortyfourth amendment act 1978 section 5 wef 2061979
Punishment,"Whoever is a member of an unlawful assembly, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.",punishment,whoever member unlawful assembly shall punished imprisonment either description term may extend six month fine
"Kidnapping, abducting or inducing woman to compel her marriage, etc","Whoever kidnaps or abducts any woman with intent that she may be compelled, or knowing it to be likely that she will be compelled, to marry any person against her will, or in order that she may be forced or seduced to illicit intercourse, or knowing it to be likely that she will be forced or seduced to illicit intercourse, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; 1 [and whoever, by means of criminal intimidation as defined in this Code or of abuse of authority or any other method of compulsion, induces any woman to go from any place with intent that she may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall be punishable as aforesaid]. Added by Act 20 of1923, section 2.",kidnapping abducting inducing woman compel marriage etc,whoever kidnaps abducts woman intent may compelled knowing likely compelled marry person order may forced seduced illicit intercourse knowing likely forced seduced illicit intercourse shall punished imprisonment either description term may extend ten year shall also liable fine 1 whoever mean criminal intimidation defined code abuse authority method compulsion induces woman go place intent may knowing likely forced seduced illicit intercourse another person shall punishable aforesaid added act 20 of1923 section 2
